,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue Category
570,75093,33.0399256979855,-96.8096675872968,Nordstrom Rack,33.02297001233805,-96.7983609146025,4b6e13f4f964a520c5a82ce3,Clothing Store
283,75025,33.0875339911856,-96.7446683423545,Chick-fil-A,33.1019084,-96.6830028,4b6e31a0f964a520d5b02ce3,Fast Food Restaurant
505,75093,33.0399256979855,-96.8096675872968,Whole Foods Market,33.02956139792221,-96.79648557725595,4b6f1b67f964a5206add2ce3,Grocery Store
335,75074,33.022388,-96.699102,Chick-fil-A,33.0086319,-96.709619,4b706159f964a520a8162de3,Fast Food Restaurant
1121,75070,33.1787952119977,-96.6810031311438,Mckinney YMCA,33.19631376864816,-96.69852134451482,4b70bbf2f964a520202c2de3,Gym
852,75035,33.1406759763169,-96.778205234649,Kolache Heaven,33.11014045966596,-96.80943189388975,4b718c41f964a5209f4c2de3,Breakfast Spot
1395,75072,33.1915366265987,-96.7545488535702,Walgreens,33.19984584132378,-96.71009321948077,4b71da30f964a52029602de3,Pharmacy
561,75093,33.0399256979855,-96.8096675872968,Chick-fil-A,33.0259204,-96.7961478,4b72b796f964a5203d852de3,Fast Food Restaurant
1214,75071,33.2324328,-96.6718598,Lowe's Home Improvement,33.2219393,-96.6384612,4b7342f1f964a520f5a42de3,Hardware Store
1211,75071,33.2324328,-96.6718598,Wingstop,33.214077957983015,-96.63824590405878,4b7353e2f964a520e9a82de3,Wings Joint
1321,75072,33.1915366265987,-96.7545488535702,The Home Depot,33.20491358291762,-96.7300808429718,4b735838f964a520cba92de3,Hardware Store
1108,75070,33.1787952119977,-96.6810031311438,McKinney Animal Hospital,33.173637,-96.678977,4b75a820f964a520a71a2ee3,Veterinarian
56,75023,33.014132,-96.6931235,Bed Bath & Beyond,33.0205996,-96.714111,4b75b0a4f964a5203c1d2ee3,Furniture / Home Store
1089,75069,33.165171,-96.629944,The Village at Allen,33.12733546423632,-96.65787412037587,4b76fe3df964a5205f722ee3,Shopping Plaza
703,75034,33.1626066,-96.865905,Grand Nail Salon,33.15359577051732,-96.8633821222691,4b773442f964a5208e872ee3,Nail Salon
662,75033,33.1643558838527,-96.8484972508143,Frisco Commons,33.153425655796255,-96.81393362705032,4b7853aef964a520abc52ee3,Park
563,75093,33.0399256979855,-96.8096675872968,Dillard's,33.03264643552031,-96.830974817276,4b7856c3f964a5209fc62ee3,Department Store
48,75023,33.014132,-96.6931235,Homewood Suites Plano Richardson,33.0033261,-96.6799095,4b78d760f964a5203ce42ee3,Hotel
16,75023,33.014132,-96.6931235,Mr. Wok,33.017837568290105,-96.6799804546912,4b79967ef964a5209e032fe3,Chinese Restaurant
341,75074,33.022388,-96.699102,Bullet Trap,33.03354497269342,-96.69789335449218,4b79a7cbf964a520d4082fe3,Sporting Goods Shop
1076,75069,33.165171,-96.629944,Allen Community Ice Rink,33.1270364608218,-96.65430500565847,4b7c5e16f964a520208f2fe3,Skating Rink
808,75035,33.1406759763169,-96.778205234649,Sprouts Farmers Market,33.1216856,-96.802699,4b7c7de6f964a520a1962fe3,Grocery Store
169,75024,33.071913,-96.8242602,la Madeleine French Bakery & Café Frisco,33.094091,-96.815779,4b7d476bf964a52017b62fe3,French Restaurant
238,75025,33.0875339911856,-96.7446683423545,Chick-fil-A,33.1277085,-96.7286043,4b7dd5f2f964a52054d72fe3,Fast Food Restaurant
851,75035,33.1406759763169,-96.778205234649,Half Price Books,33.1056368,-96.8091077,4b7ef3f9f964a520e10b30e3,Bookstore
1342,75072,33.1915366265987,-96.7545488535702,Harold Bacchus Community Park,33.150558922467184,-96.75463914871216,4b7f281cf964a520041b30e3,Park
282,75025,33.0875339911856,-96.7446683423545,Braum's,33.10126834681121,-96.6969506952151,4b7f306df964a520b31d30e3,Ice Cream Shop
770,75034,33.1626066,-96.865905,B. F. Phillips Community Park,33.12729654101881,-96.86288113528066,4b7f7b93f964a5200d3130e3,Park
686,75033,33.1643558838527,-96.8484972508143,Warren Sports Complex,33.171254821723814,-96.81740810066906,4b802488f964a520125630e3,Park
303,75074,33.022388,-96.699102,Ye Ole Butcher Shoppe,33.02028466985314,-96.70439767350997,4b8034d7f964a520415c30e3,Butcher
493,75075,33.025501943712,-96.7440978471312,Cavender's Boot City,33.04083562554078,-96.70347904266487,4b804f96f964a520c66630e3,Clothing Store
441,75075,33.025501943712,-96.7440978471312,Hobby Lobby,33.0175628,-96.7156956,4b809293f964a520de7d30e3,Fabric Shop
1281,75071,33.2324328,-96.6718598,RaceTrac,33.217511,-96.640242,4b843811f964a5203e2831e3,Gas Station
